#
# This is a sample _csv2group_ source file.
#
stem,add,Grouper.NS_ROOT,alt
stem,add,alt,test
group,add,alt:test,group
group,add,alt:test,hello-world
stem,add,Grouper.NS_ROOT,comp
stem,add,comp,lang
stem,add,comp:lang,java
stem,add,comp:lang,perl
group,add,comp:lang,awk
group,add,comp:lang,ruby
group,add,comp:lang,java
group,add,comp:lang:java,announce
group,add,comp:lang,perl
group,add,comp:lang:perl,misc
member,add,comp:lang,ruby,adams
member,add,comp:lang,ruby,bartlett
member,add,comp:lang,ruby,braxton
member,add,comp:lang,ruby,carroll
member,add,comp:lang,java,wilson
member,add,comp:lang,java,witherspoon
member,add,comp:lang,java,wolcott
member,add,comp:lang,java,wythe
member,add,comp:lang:java,announce,adams
member,add,comp:lang:java,announce,chase
member,add,comp:lang:java,announce,clark
member,add,comp:lang:java,announce,clymer
member,add,comp:lang:java,announce,wilson
member,add,comp:lang:java,announce,witherspoon
member,add,comp:lang,perl,ellery
member,add,comp:lang,perl,franklin
member,add,comp:lang,perl,gerry
member,add,comp:lang:perl,misc,gerry
member,add,comp:lang,java,comp:lang:java,announce
member,add,comp:lang:perl,misc,comp:lang,perl
member,add,comp:lang,awk,clark
