File summary (Tue Aug 14 20:59:59 2018)
---------------------------------------

Filename	Class	TestId (can be used as param to AllTests)	Number of Tests	Number of Suites	Number of manual Suites	Parent Class	has JUnit-BEGIN
../src/test/edu/internet2/middleware/grouper/AllTests.java	AllTests	AllTests	0	15	32	GrouperTest	1
../src/test/edu/internet2/middleware/grouper/MembershipFinderTest.java	MembershipFinderTest	MembershipFinderTest	2	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestComposite.java	TestComposite	TestComposite	49	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestCompositeI.java	TestCompositeI	TestCompositeI	41	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestCompositeModel.java	TestCompositeModel	TestCompositeModel	15	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestCompositeU.java	TestCompositeU	TestCompositeU	37	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestField.java	TestField	TestField	4	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestGrouperSession.java	TestGrouperSession	TestGrouperSession	8	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestGrouperVersion.java	TestGrouperVersion	TestGrouperVersion	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestGroupType.java	TestGroupType	TestGroupType	36	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestGroupTypeIncludeExclude.java	TestGroupTypeIncludeExclude	TestGroupTypeIncludeExclude	6	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestSession.java	TestSession	TestSession	7	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestStem.java	TestStem	TestStem	59	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestStemApi.java	TestStemApi	TestStemApi	110	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestStemFinder.java	TestStemFinder	TestStemFinder	12	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/TestStemIntegration.java	TestStemIntegration	TestStemIntegration	14	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/app/AllAppTests.java	AllAppTests	app.AllAppTests	0	1	5	?	1
../src/test/edu/internet2/middleware/grouper/app/attestation/AllAttestationTests.java	AllAttestationTests	app.attestation.AllAttestationTests	0	1	0	?	1
../src/test/edu/internet2/middleware/grouper/app/attestation/GrouperAttestationJobTest.java	GrouperAttestationJobTest	app.attestation.GrouperAttestationJobTest	4	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/app/deprovisioning/AllDeprovisioningTests.java	AllDeprovisioningTests	app.deprovisioning.AllDeprovisioningTests	0	4	0	?	1
../src/test/edu/internet2/middleware/grouper/app/deprovisioning/GrouperDeprovisioningEmailServiceTest.java	GrouperDeprovisioningEmailServiceTest	app.deprovisioning.GrouperDeprovisioningEmailServiceTest	1	0	0	GrouperTest	0
../src/test/edu/internet2/middleware/grouper/app/deprovisioning/GrouperDeprovisioningJobTest.java	GrouperDeprovisioningJobTest	app.deprovisioning.GrouperDeprovisioningJobTest	3	0	0	GrouperTest	0
